"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 16:55:59 GMT 2023","Mon Jan 02 16:56:12 GMT 2023","12942","chromium","","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Mon Jan 02 16:55:59 GMT 2023","Mon Jan 02 16:56:12 GMT 2023","13122","chromium","","GitHub - Search Result","","","second try",""
"passed","Mon Jan 02 16:55:59 GMT 2023","Mon Jan 02 16:56:13 GMT 2023","13103","chromium","","GitHub - Search Result","","","third try",""
