"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 17:06:53 GMT 2023","Mon Jan 02 17:07:03 GMT 2023","10539","chromium","","GitHub - Search Result","","","second try",""
"passed","Mon Jan 02 17:06:53 GMT 2023","Mon Jan 02 17:07:04 GMT 2023","10854","chromium","","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Mon Jan 02 17:06:53 GMT 2023","Mon Jan 02 17:07:03 GMT 2023","10191","chromium","","GitHub - Search Result","","","third try",""
