"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 17:14:14 GMT 2023","Mon Jan 02 17:14:17 GMT 2023","2727","chromium","","GitHub - Search Result","","","fourth try",""
"passed","Mon Jan 02 17:14:04 GMT 2023","Mon Jan 02 17:14:14 GMT 2023","9754","chromium","","GitHub - Search Result","","","second try",""
"passed","Mon Jan 02 17:14:05 GMT 2023","Mon Jan 02 17:14:14 GMT 2023","9359","chromium","","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Mon Jan 02 17:14:05 GMT 2023","Mon Jan 02 17:14:14 GMT 2023","9840","chromium","","GitHub - Search Result","","","third try",""
